content,tokenized_text,processed_text
"aplikasi fenifu, 200 itu koin bukan dana, yeuu skem skem","['aplikasi', 'fenifu', 'itu', 'koin', 'bukan', 'dana', 'yeuu', 'skem', 'skem']","['aplikasi', 'fenifu', 'koin', 'bukan', 'dana', 'yeuu', 'skem', 'skem']"
"Tarif di aplikasi customer sama driver beda, agak sulit bagi kami perjalanannya harus ada pelaporan dana. Driver suka nambahin tarif dengan alasan ngaret, padahal ngaretnya karna naikin penumpang, Kalau driver ngaret, tidak ada notif sama sekali, 🙏🏻 Suka ganti driver sendiri! Mana semuanya datang lagi. Padahal kita ga ada ganti driver.","['tarif', 'di', 'aplikasi', 'customer', 'sama', 'driver', 'beda', 'agak', 'sulit', 'bagi', 'kami', 'perjalanannya', 'harus', 'ada', 'pelaporan', 'dana', 'driver', 'suka', 'nambahin', 'tarif', 'dengan', 'alasan', 'ngaret', 'padahal', 'ngaretnya', 'karna', 'naikin', 'penumpang', 'kalau', 'driver', 'ngaret', 'tidak', 'ada', 'notif', 'sama', 'sekali', 'suka', 'ganti', 'driver', 'sendiri', 'mana', 'semuanya', 'datang', 'lagi', 'padahal', 'kita', 'ga', 'ada', 'ganti', 'driver']","['tarif', 'aplikasi', 'customer', 'sama', 'driver', 'beda', 'sulit', 'jalan', 'lapor', 'dana', 'driver', 'suka', 'nambahin', 'tarif', 'alas', 'ngaret', 'padahal', 'ngaretnya', 'karna', 'naikin', 'tumpang', 'kalau', 'driver', 'ngaret', 'notif', 'sama', 'sekali', 'suka', 'ganti', 'driver', 'sendiri', 'mana', 'semua', 'datang', 'padahal', 'ga', 'ganti', 'driver']"
Aplikasi aneh banget gue kalo mesen sering dikasi driver yg jauh banget buat jemput gue padahal gue order ke tempat yg deket aja. Kasian drivernya jauh² pickup penumpang tapi argonya murah jelek lah pokonya ini aplikasi,"['aplikasi', 'aneh', 'banget', 'gue', 'kalo', 'mesen', 'sering', 'dikasi', 'driver', 'yg', 'jauh', 'banget', 'buat', 'jemput', 'gue', 'padahal', 'gue', 'order', 'ke', 'tempat', 'yg', 'deket', 'aja', 'kasian', 'drivernya', 'jauh', 'pickup', 'penumpang', 'tapi', 'argonya', 'murah', 'jelek', 'lah', 'pokonya', 'ini', 'aplikasi']","['aplikasi', 'aneh', 'banget', 'gue', 'kalo', 'mesen', 'sering', 'kasi', 'driver', 'yg', 'jauh', 'banget', 'buat', 'jemput', 'gue', 'padahal', 'gue', 'order', 'tempat', 'yg', 'deket', 'aja', 'kasi', 'drivernya', 'jauh', 'pickup', 'tumpang', 'argonya', 'murah', 'jelek', 'lah', 'poko', 'aplikasi']"
Kalo customer cancel dan minta ganti driver tolonglah di terima bukannya malah di kasih orang itu mulu,"['kalo', 'customer', 'cancel', 'dan', 'minta', 'ganti', 'driver', 'tolonglah', 'di', 'terima', 'bukannya', 'malah', 'di', 'kasih', 'orang', 'itu', 'mulu']","['kalo', 'customer', 'cancel', 'minta', 'ganti', 'driver', 'tolong', 'terima', 'bukan', 'malah', 'kasih', 'orang', 'mulu']"
200k SCAMMMMMMMMMMMMMMMMMM SALDO GABISA DI PAKE SCAM SCAM,"['k', 'scammmmmmmmmmmmmmmmmm', 'saldo', 'gabisa', 'di', 'pake', 'scam', 'scam']","['k', 'scammmmmmmmmmmmmmmmmm', 'saldo', 'gabisa', 'pake', 'scam', 'scam']"
200k scammmmmmmm,"['k', 'scammmmmmmm']","['k', 'scammmmmmmm']"
Login susah lebih dr 3x malah ga bisa. Aplikasi ga bagus log in aja dipersulit. Mendingan si ijo dr pda ini,"['login', 'susah', 'lebih', 'dr', 'x', 'malah', 'ga', 'bisa', 'aplikasi', 'ga', 'bagus', 'log', 'in', 'aja', 'dipersulit', 'mendingan', 'si', 'ijo', 'dr', 'pda', 'ini']","['login', 'susah', 'lebih', 'dr', 'x', 'malah', 'ga', 'aplikasi', 'ga', 'bagus', 'log', 'in', 'aja', 'sulit', 'mending', 'si', 'ijo', 'dr', 'pda']"
"Dari 10 driver Maxim hanya 2 yg baik yg lain nya driver sombong nolak nolak customer, bukan sekali 2 kali d tolak klo niat GK kerja gak usah online hanya karna jarak yg Deket padahal urgent hanya karna ongkos yg murah padahal klo kasih ongkos selalu q lebihin bikin kecewa .","['dari', 'driver', 'maxim', 'hanya', 'yg', 'baik', 'yg', 'lain', 'nya', 'driver', 'sombong', 'nolak', 'nolak', 'customer', 'bukan', 'sekali', 'kali', 'd', 'tolak', 'klo', 'niat', 'gk', 'kerja', 'gak', 'usah', 'online', 'hanya', 'karna', 'jarak', 'yg', 'deket', 'padahal', 'urgent', 'hanya', 'karna', 'ongkos', 'yg', 'murah', 'padahal', 'klo', 'kasih', 'ongkos', 'selalu', 'q', 'lebihin', 'bikin', 'kecewa']","['driver', 'maxim', 'yg', 'baik', 'yg', 'nya', 'driver', 'sombong', 'nolak', 'nolak', 'customer', 'bukan', 'sekali', 'kali', 'd', 'tolak', 'klo', 'niat', 'gk', 'kerja', 'gak', 'usah', 'online', 'karna', 'jarak', 'yg', 'deket', 'padahal', 'urgent', 'karna', 'ongkos', 'yg', 'murah', 'padahal', 'klo', 'kasih', 'ongkos', 'selalu', 'q', 'lebihin', 'bikin', 'kecewa']"
"Tiap hari menerima driver baru banyak ,kalau saya yang jadi mentri perhubungan sudah saya sepak kau aplikasi kejam sadis tidak memikirkan nasib driver ..pendaftaran di buka teris sampai hari kiamat !!!@","['tiap', 'hari', 'menerima', 'driver', 'baru', 'banyak', 'kalau', 'saya', 'yang', 'jadi', 'mentri', 'perhubungan', 'sudah', 'saya', 'sepak', 'kau', 'aplikasi', 'kejam', 'sadis', 'tidak', 'memikirkan', 'nasib', 'driver', 'pendaftaran', 'di', 'buka', 'teris', 'sampai', 'hari', 'kiamat']","['tiap', 'hari', 'terima', 'driver', 'baru', 'banyak', 'kalau', 'jadi', 'tri', 'hubung', 'sepak', 'kau', 'aplikasi', 'kejam', 'sadis', 'pikir', 'nasib', 'driver', 'daftar', 'buka', 'ter', 'hari', 'kiamat']"
"Saya udah transfer kaspro 30ribu kenapa belum masuk woy , tolong dong kembalikan uangnya !!!!! Apa perlu saya up ke medsos","['saya', 'udah', 'transfer', 'kaspro', 'ribu', 'kenapa', 'belum', 'masuk', 'woy', 'tolong', 'dong', 'kembalikan', 'uangnya', 'apa', 'perlu', 'saya', 'up', 'ke', 'medsos']","['udah', 'transfer', 'kaspro', 'ribu', 'masuk', 'woy', 'dong', 'kembali', 'uang', 'apa', 'perlu', 'up', 'medsos']"
