no_stopwords,stemmed_text
"['k', 'scammmmmmmm']","['k', 'scammmmmmmm']"
"['login', 'susah', 'lebih', 'dr', 'x', 'malah', 'ga', 'aplikasi', 'ga', 'bagus', 'log', 'in', 'aja', 'dipersulit', 'mendingan', 'si', 'ijo', 'dr', 'pda']","['login', 'susah', 'lebih', 'dr', 'x', 'malah', 'ga', 'aplikasi', 'ga', 'bagus', 'log', 'in', 'aja', 'sulit', 'mending', 'si', 'ijo', 'dr', 'pda']"
"['driver', 'maxim', 'yg', 'baik', 'yg', 'nya', 'driver', 'sombong', 'nolak', 'nolak', 'customer', 'bukan', 'sekali', 'kali', 'd', 'tolak', 'klo', 'niat', 'gk', 'kerja', 'gak', 'usah', 'online', 'karna', 'jarak', 'yg', 'deket', 'padahal', 'urgent', 'karna', 'ongkos', 'yg', 'murah', 'padahal', 'klo', 'kasih', 'ongkos', 'selalu', 'q', 'lebihin', 'bikin', 'kecewa']","['driver', 'maxim', 'yg', 'baik', 'yg', 'nya', 'driver', 'sombong', 'nolak', 'nolak', 'customer', 'bukan', 'sekali', 'kali', 'd', 'tolak', 'klo', 'niat', 'gk', 'kerja', 'gak', 'usah', 'online', 'karna', 'jarak', 'yg', 'deket', 'padahal', 'urgent', 'karna', 'ongkos', 'yg', 'murah', 'padahal', 'klo', 'kasih', 'ongkos', 'selalu', 'q', 'lebihin', 'bikin', 'kecewa']"
"['tiap', 'hari', 'menerima', 'driver', 'baru', 'banyak', 'kalau', 'jadi', 'mentri', 'perhubungan', 'sepak', 'kau', 'aplikasi', 'kejam', 'sadis', 'memikirkan', 'nasib', 'driver', 'pendaftaran', 'buka', 'teris', 'hari', 'kiamat']","['tiap', 'hari', 'terima', 'driver', 'baru', 'banyak', 'kalau', 'jadi', 'tri', 'hubung', 'sepak', 'kau', 'aplikasi', 'kejam', 'sadis', 'pikir', 'nasib', 'driver', 'daftar', 'buka', 'ter', 'hari', 'kiamat']"
"['udah', 'transfer', 'kaspro', 'ribu', 'masuk', 'woy', 'dong', 'kembalikan', 'uangnya', 'apa', 'perlu', 'up', 'medsos']","['udah', 'transfer', 'kaspro', 'ribu', 'masuk', 'woy', 'dong', 'kembali', 'uang', 'apa', 'perlu', 'up', 'medsos']"
"['login', 'kode', 'otp', 'tdk', 'terkirim', 'baik', 'melalui', 'sms', 'memang', 'ditlp', 'tpi', 'cs', 'membisu', 'tdk', 'ksi', 'kode', 'otp', 'sy', 'tdk', 'login', 'kirain', 'pulsa', 'tdk', 'dikrim', 'kode', 'otp', 'umsk', 'sms', 'kode', 'otp', 'tahunya', 'memang', 'msk', 'kode', 'otp', 'ditlp', 'mlah', 'tdk', 'bicra', 'apa', 'cs', 'maxim']","['login', 'kode', 'otp', 'tdk', 'kirim', 'baik', 'lalu', 'sms', 'memang', 'ditlp', 'tpi', 'cs', 'bisu', 'tdk', 'ksi', 'kode', 'otp', 'sy', 'tdk', 'login', 'kirain', 'pulsa', 'tdk', 'krim', 'kode', 'otp', 'umsk', 'sms', 'kode', 'otp', 'tahu', 'memang', 'msk', 'kode', 'otp', 'ditlp', 'mlah', 'tdk', 'bicra', 'apa', 'cs', 'maxim']"
"['kapoktakut', 'buat', 'pesan', 'maxim', 'dapet', 'pengalaman', 'bawa', 'motornya', 'ugal', 'ugalan', 'parah', 'ga', 'mikir', 'sama', 'sekali', 'kalo', 'bawa', 'nyawa', 'penumpang', 'bawa', 'nama', 'maxim', 'gara', 'gara', 'satu', 'org', 'jelek', 'nama', 'maxim', 'udah', 'laporin', 'pihak', 'maxim', 'tanggapan', 'terima', 'kasih', 'pakai', 'maxim', 'terus', 'terkenang', 'kejadian', 'lebih', 'baik', 'uninstal']","['kapoktakut', 'buat', 'pesan', 'maxim', 'dapet', 'alam', 'bawa', 'motor', 'ugal', 'ugalan', 'parah', 'ga', 'mikir', 'sama', 'sekali', 'kalo', 'bawa', 'nyawa', 'tumpang', 'bawa', 'nama', 'maxim', 'gara', 'gara', 'satu', 'org', 'jelek', 'nama', 'maxim', 'udah', 'laporin', 'pihak', 'maxim', 'tanggap', 'terima', 'kasih', 'pakai', 'maxim', 'terus', 'kenang', 'jadi', 'lebih', 'baik', 'uninstal']"
"['dong', 'driver', 'atas', 'nama', 'muhammad', 'taufik', 'hidayat', 'suru', 'tf', 'balik', 'uang', 'dibawa', 'kabur', 'sm', 'bukan', 'masalah', 'nominal', 'tp', 'kejujuran', 'nya', 'pakkkk', 'blg', 'mau', 'tf', 'balik', 'tp', 'wa', 'blokir', 'sama', 'tolongg', 'dong', 'pihakkkk', 'maxim', 'kondisikan', 'drivernya', 'hati', 'sama', 'plat', 'nomornya', 'b', 'pne']","['dong', 'driver', 'atas', 'nama', 'muhammad', 'taufik', 'hidayat', 'suru', 'tf', 'balik', 'uang', 'bawa', 'kabur', 'sm', 'bukan', 'masalah', 'nominal', 'tp', 'jujur', 'nya', 'pakkkk', 'blg', 'mau', 'tf', 'balik', 'tp', 'wa', 'blokir', 'sama', 'tolongg', 'dong', 'pihakkkk', 'maxim', 'kondisi', 'drivernya', 'hati', 'sama', 'plat', 'nomor', 'b', 'pne']"
['lambat'],['lambat']
"['ap', 'l', 'k', 'si', 't', 'i', 'k', 'u', 'kalo', 'ber', 'sai', 'ng', 'n', 'se', 'ht', 'do', 'n', 'b', 'b', 'ny', 'h', 'k', 'u', 'd', 'r', 'in', 'dn', 'si', 'p', 'lka', 'si', 'b', 'b']","['ap', 'l', 'k', 'si', 't', 'i', 'k', 'u', 'kalo', 'ber', 'sai', 'ng', 'n', 'se', 'ht', 'do', 'n', 'b', 'b', 'ny', 'h', 'k', 'u', 'd', 'r', 'in', 'dn', 'si', 'p', 'lka', 'si', 'b', 'b']"
"['ajarin', 'pengemudi', 'lo', 'kata', 'sopan']","['ajarin', 'kemudi', 'lo', 'kata', 'sopan']"
"['pindah', 'indriver', 'aja', 'lah', 'lebih', 'enak']","['pindah', 'indriver', 'aja', 'lah', 'lebih', 'enak']"
"['hoaxx', 'dapet', 'bonus', 'gabisa', 'pake', 'hoaxxx']","['hoaxx', 'dapet', 'bonus', 'gabisa', 'pake', 'hoaxxx']"
"['scam', 'penipu']","['scam', 'tipu']"
"['kalo', 'gk', 'pake', 'nomor', 'minimal', 'pake', 'google', 'geh']","['kalo', 'gk', 'pake', 'nomor', 'minimal', 'pake', 'google', 'geh']"
"['sangat', 'mengecewakan', 'driver', 'banyak', 'betingkah', 'kalo', 'gak', 'mau', 'narik', 'baik', 'off', 'kan', 'aplikasi', 'nya', 'alasan', 'makan', 'pecah', 'ban', 'bilang', 'otw', 'aplikasi', 'bergerak', 'sangat', 'kurang', 'ajar', 'bukan', 'sekali', 'kali', 'aku', 'sekalipun', 'gak', 'pernh', 'kasih', 'ongkos', 'pass', 'lebih', 'paraahhhh']","['sangat', 'kecewa', 'driver', 'banyak', 'beting', 'kalo', 'gak', 'mau', 'narik', 'baik', 'off', 'kan', 'aplikasi', 'nya', 'alas', 'makan', 'pecah', 'ban', 'bilang', 'otw', 'aplikasi', 'gerak', 'sangat', 'kurang', 'ajar', 'bukan', 'sekali', 'kali', 'aku', 'sekalipun', 'gak', 'pernh', 'kasih', 'ongkos', 'pass', 'lebih', 'paraahhhh']"
"['maxim', 'memang', 'bagus', 'pesan', 'disana', 'misal', 'tertulis', 'menit', 'ditunggu', 'menit', 'gak', 'maju', 'kendaraannya', 'kesel', 'sering', 'akhirnya', 'nunggu', 'lama', 'lbih', 'mnit', 'ketikasudah', 'dibatalkan', 'malah', 'datang']","['maxim', 'memang', 'bagus', 'pesan', 'sana', 'misal', 'tulis', 'menit', 'tunggu', 'menit', 'gak', 'maju', 'kendara', 'kesel', 'sering', 'akhir', 'nunggu', 'lama', 'lbih', 'mnit', 'ketikasudah', 'batal', 'malah', 'datang']"
"['peta', 'tida', 'muncul', 'yg', 'muncul', 'cuma', 'garis', 'kotak']","['peta', 'tida', 'muncul', 'yg', 'muncul', 'cuma', 'garis', 'kotak']"
"['aneh', 'jadi', 'gak', 'loginaplikasi', 'apa']","['aneh', 'jadi', 'gak', 'loginaplikasi', 'apa']"
"['maxim', 'bodoh', 'sumpah', 'harga', 'kok', 'berubah', 'rubah', 'terus', 'tolol', 'emang', 'ganggu', 'aktifitas', 'orang']","['maxim', 'bodoh', 'sumpah', 'harga', 'kok', 'ubah', 'rubah', 'terus', 'tolol', 'emang', 'ganggu', 'aktifitas', 'orang']"
"['sadar', 'diri', 'lah', 'penumpang', 'pesan', 'car', 'udah', 'ac', 'kasih', 'nya', 'uang', 'pas', 'kadang', 'rb', 'pas', 'parah', 'gk', 'ngotak', 'harganya']","['sadar', 'diri', 'lah', 'tumpang', 'pesan', 'car', 'udah', 'ac', 'kasih', 'nya', 'uang', 'pas', 'kadang', 'rb', 'pas', 'parah', 'gk', 'ngotak', 'harga']"
