content,processed_text
"aplikasi sulit digunakan, tampilan kurang menarik dan ada bagian tengah kosong jika digunakan dalam mode gelap, warna kuning dan biru gelap membuat aplikasi tidak enak dipandang. terlalu banyak teks pada menu kendaraan. menu layanan di scroll kesamping membuat sulit untuk memilih layanan. lokasi menu pemberitahuan yang sekarang sulit dijangkau dengan cepat sehingga kita tibak bisa segera membuka notifikasi","['aplikasi', 'sulit', 'guna', 'tampil', 'kurang', 'tarik', 'ada', 'bagi', 'tengah', 'kosong', 'guna', 'mode', 'gelap', 'warna', 'kuning', 'biru', 'gelap', 'buat', 'aplikasi', 'enak', 'pandang', 'terlalu', 'banyak', 'teks', 'menu', 'kendara', 'menu', 'layan', 'scroll', 'samping', 'buat', 'sulit', 'pilih', 'layan', 'lokasi', 'menu', 'pemberitahuan', 'sekarang', 'sulit', 'jangkau', 'cepat', 'kita', 'tibak', 'segera', 'buka', 'notifikasi']"
"Tolong dong kasih tau driver nya jaga kebersihan, masa jaket nya bauk kaos kaki basah yang udah busuk. Saya nahan mual terus, sampai akhir nya minta berhenti sebelum sampai tujuan. Mana hlem nya bauk juga sama banyak bulu kucing","['dong', 'kasih', 'tau', 'driver', 'nya', 'jaga', 'bersih', 'masa', 'jaket', 'nya', 'bauk', 'kaos', 'kaki', 'basah', 'udah', 'busuk', 'nahan', 'mual', 'terus', 'akhir', 'nya', 'minta', 'henti', 'sampai', 'tuju', 'mana', 'hlem', 'nya', 'bauk', 'sama', 'banyak', 'bulu', 'kucing']"
"Maxim tramau uang ee. Sampe tong pesan 3 kali tapi tramau terima, maxim su kaya kapa","['maxim', 'tramau', 'uang', 'ee', 'sampe', 'tong', 'pesan', 'kali', 'tramau', 'terima', 'maxim', 'su', 'kaya', 'kapa']"
Susah untuk login,"['susah', 'login']"
"Kak bagaimana cara daftar maxim .. audah berulang kali di daftar lewat pesan telpn bahkan pake kode perfikasi tetap tdk bisa,","['kak', 'bagaimana', 'cara', 'daftar', 'maxim', 'audah', 'ulang', 'kali', 'daftar', 'lewat', 'pesan', 'telpn', 'bahkan', 'pake', 'kode', 'perfikasi', 'tetap', 'tdk']"
Scam,['scam']
"murah emang, tapi benerin dulu maps nya. ancur poll titikannya","['murah', 'emang', 'benerin', 'dulu', 'maps', 'nya', 'ancur', 'poll', 'titi']"
Parah sekarang.. Masa saya yg nunggu lama driver.. Setelah nyampe eh harga nambah dari harga pemesanan 😒 Driver dengan enak jawab.. Itu sesuai sistem🤣🤣,"['parah', 'sekarang', 'masa', 'yg', 'nunggu', 'lama', 'driver', 'nyampe', 'eh', 'harga', 'nambah', 'harga', 'mesan', 'driver', 'enak', 'jawab', 'sesuai', 'sistem']"
"Kok bayar pake kaspro, saldo udh berkurang, driver masih minta, kata nya ga masuk ke saldo kaspro driver??","['kok', 'bayar', 'pake', 'kaspro', 'saldo', 'udh', 'kurang', 'driver', 'minta', 'kata', 'nya', 'ga', 'masuk', 'saldo', 'kaspro', 'driver']"
Ini kenapa saya tidak mendapatkan kode Verifikasi nomor telepon ya biasanya cepat ini lama sekali nunggu kodenya mohon diperbaiki kembali,"['kenapa', 'tidak', 'dapat', 'kode', 'verifikasi', 'nomor', 'telepon', 'biasa', 'cepat', 'lama', 'sekali', 'nunggu', 'kode', 'mohon', 'baik']"
"Setelah di update malah tambah jelek., kalau sudah diterima orderan malah layar putih + loading, jadinya susah buat konfirmasi dengan pengemudi","['di', 'update', 'malah', 'tambah', 'jelek', 'kalau', 'terima', 'order', 'malah', 'layar', 'putih', 'loading', 'jadi', 'susah', 'buat', 'konfirmasi', 'kemudi']"
cari petanya sussah,"['cari', 'peta', 'sussah']"
Kebanyakan Sampah,"['banyak', 'sampah']"
Teralu lama mencari pelaksana,"['alu', 'lama', 'cari', 'laksana']"
"Map.... Kurang lengkap ,banyak yang salah,","['map', 'kurang', 'lengkap', 'banyak', 'salah']"
kenapa sih mau login nya susah banget ga keluar kodenyaa teruss!!,"['sih', 'mau', 'login', 'nya', 'susah', 'banget', 'ga', 'keluar', 'kodenyaa', 'teruss']"
"Driver pilih-pilih, pembayaran menggunakan e-wallet tdk ada yg mau, tpi klo pke tunai minta lebih. Susah juga nyari driver yg mau jemput, alasannya jauh. Terus minta naik harga.","['driver', 'pilihpilih', 'bayar', 'guna', 'ewallet', 'tdk', 'yg', 'mau', 'tpi', 'klo', 'pke', 'tunai', 'minta', 'lebih', 'susah', 'nyari', 'driver', 'yg', 'mau', 'jemput', 'alas', 'jauh', 'terus', 'minta', 'naik', 'harga']"
MAU MASUK AJA RIBET HARUS VERIFIKASI MELULU,"['mau', 'masuk', 'aja', 'ribet', 'verifikasi', 'melulu']"
mantap,['mantap']
driver nya dapet mulu yg rada rada,"['driver', 'nya', 'dapet', 'mulu', 'yg', 'rada', 'rada']"
"Aplikasi payah, titik tidak akurat.apalagi kalau hujan..","['aplikasi', 'payah', 'titik', 'akuratapalagi', 'kalau', 'hujan']"
seharusnya untuk menjadi mitra maxim itu. harus membawa SKCK dan DRIVERnya di SEFTY RIDING yang di adakan oleh pihak MAXIM. maxim itu tidak seperti GRAB dan GOJEK. kalau grab dan gojek. DRIVERnya wajib mengikuti SEFTY RIDING yang di adakan oleh aplikasi grab dan gojek.,"['untuk', 'jadi', 'mitra', 'maxim', 'harus', 'bawa', 'skck', 'drivernya', 'sefty', 'riding', 'di', 'adakan', 'pihak', 'maxim', 'maxim', 'tidak', 'grab', 'gojek', 'kalau', 'grab', 'gojek', 'drivernya', 'wajib', 'ikut', 'sefty', 'riding', 'di', 'adakan', 'aplikasi', 'grab', 'gojek']"
jelek,['jelek']
baik,['baik']
Top up kaspro nya lama beutt.. Masih mending topup Ff lah jir,"['top', 'up', 'kaspro', 'nya', 'lama', 'beutt', 'mending', 'topup', 'ff', 'lah', 'jir']"
Apk tolol sampah.kirim kode otp gak masuk2 via telpon juga sama.apk gak guna jauh lo sama pesaing lo yg lain sampah,"['apk', 'tolol', 'sampahkirim', 'kode', 'otp', 'gak', 'masuk', 'via', 'telpon', 'samaapk', 'gak', 'jauh', 'lo', 'sama', 'saing', 'lo', 'yg', 'sampah']"
diskon scam,"['diskon', 'scam']"
Mapsnya asal asalan,"['mapsnya', 'asal', 'asal']"
Payah waktu naik murah sekali mau turun tiba tiba harga berubah drastis sampai 50% saya sangat dirugikan.. payah,"['payah', 'waktu', 'naik', 'murah', 'sekali', 'mau', 'turun', 'tiba', 'tiba', 'harga', 'ubah', 'drastis', 'saya', 'sangat', 'rugi', 'payah']"
"Drivernya gada yg bener smua, udh berkali² kecewa bgt Tolong lah lbih dibenerin lg","['drivernya', 'gada', 'yg', 'bener', 'smua', 'udh', 'kali', 'kecewa', 'bgt', 'lah', 'lbih', 'dibenerin', 'lg']"
Pelayanan nya lambat,"['layan', 'nya', 'lambat']"
Driver saat hujan tidak ada yang mau terima order Tolong diperhatikan lagi,"['driver', 'hujan', 'ada', 'mau', 'terima', 'order', 'perhati']"
Aplikasi Ribet,"['aplikasi', 'ribet']"
Untuk aplikasi Maxim tolong lebih peka terhadap akun fiktif kasihan driver kalau dapat susah mencari uang tapi sering ada akun tipu karan driver tergiur sama ongkir nya,"['aplikasi', 'maxim', 'lebih', 'peka', 'akun', 'fiktif', 'kasihan', 'driver', 'kalau', 'susah', 'cari', 'uang', 'sering', 'akun', 'tipu', 'karan', 'driver', 'giur', 'sama', 'ongkir', 'nya']"
Tidak bisa log in,"['bisa', 'log', 'in']"
Perbaikin maps nya,"['perbaikin', 'maps', 'nya']"
