Token,Frequency
berkalikali,3
bekas,8
engga,10
jabbar,2
titenono,1
swt,1
siang,9
puter,2
pantau,4
tenaga,3
ojolnya,4
bahan,2
bakar,1
wilayah,6
tasikmalaya,2
tda,2
vertivikasi,1
promosiin,1
gratis,13
gapernah,4
aj,13
drivergak,1
bagusdan,1
kassprokasswalletnya,1
sgr,1
lgsosialisasikan,1
ttg,1
kasspro,2
kassprokasswallethny,1
trm,1
ksh,10
sisa,9
va,3
uda,17
komplain,15
duduk,4
nempel,2
tangan,12
pegang,4
lepas,2
dilaporin,1
ngeclaim,1
kendor,1
buruksaya,1
handphone,3
burukpembagian,1
fairbisa,1
orderkelihatan,1
dear,6
foundermanager,1
yogyakarta,3
masukloss,1
bangkrut,6
rilis,2
detail,11
perut,4
keburu,6
lapar,7
management,3
sebel,3
ulas,5
tips,6
bahas,1
naek,4
attitudenya,3
ngantuk,1
gda,2
sakit,22
bangsattt,1
pijat,3
ramahsat,1
bpkya,1
pentinghelm,1
gede,7
ngk,13
jeda,2
drivwr,1
kominilatif,1
freindly,1
bila,5
gmana,4
contoh,12
kenal,4
ramahbwa,1
tenang,4
sklithe,1
sdah,2
bikinin,1
lima,1
barong,1
tongkok,1
keranjang,3
white,1
pasang,6
dibaturaja,1
sumatra,2
selatan,2
kurir,22
nganterintolong,1
baturaja,1
ngeselin,2
recomend,2
cerah,1
brang,1
pulangin,1
kemna,1
susppen,1
orderankayak,1
ngemis,1
bangetyaudah,1
thank,5
love,1
bohong,17
karma,1
smuanya,1
baikhrga,1
driper,2
telogout,1
desak,7
masukmasuk,3
refresh,2
nasib,4
mkn,3
dichat,4
singkat,2
tlah,1
nyetirnya,2
apgret,1
ntah,7
ewalet,2
lainbank,1
digital,4
shopeepay,1
seabank,1
alfamart,5
atau,6
indomaretminusnya,1
yakin,1
akn,1
byk,13
pnumpang,1
realisasi,1
perfect,3
penumpangaplikasi,1
manteps,1
hasil,14
jelasmasak,1
sekitar,4
staff,2
coming,1
soon,2
hangus,3
sold,1
out,10
platform,2
stock,1
salahin,2
komen,1
negatif,3
tega,4
istri,5
drmh,1
cuan,2
pesawat,1
rebu,3
sumpek,1
drviernya,1
tante,1
bu,1
smoga,5
limpah,2
allahuma,1
gamasuk,1
kuasa,3
kota,16
palangkaraya,1
ngikutin,2
sesat,4
sampitkalteng,1
sipenerima,3
pesananan,2
meresponmenjawab,1
kabar,4
menu,20
pembataln,1
gercep,6
logout,5
chattingan,1
file,2
gambar,13
bntang,1
suda,1
waduh,1
hadehh,4
sedot,6
riwayat,11
sanga,1
aroor,1
gang,7
jl,4
musim,2
wlaupun,1
mw,7
diambilmksi,1
bli,2
peduliin,1
beban,3
jrak,1
terbebanin,1
dngan,2
segitu,10
dkat,1
gpp,2
jrk,1
kg,5
erordan,1
susai,1
dehh,2
improvisasi,1
relevan,2
kesiap,1
masingmasing,1
bersidriver,1
ramahmusik,1
rbu,4
malaysia,2
lambatkuat,1
seram,1
jdnya,4
percepatpenambahan,1
ngojek,5
ehh,3
apl,12
tunaipadhal,1
patut,2
broo,1
trevel,1
jancokk,1
mentang,4
ingat,6
fikir,1
mslh,3
membantutrimakasih,1
go,4
seliwer,1
jdi,22
anyep,2
adriver,1
berhubunganminimal,1
prioritasujung,1
bandara,14
soekarno,1
charge,4
tolkatanya,1
pool,1
ready,1
mahalkaget,1
aplikasimungkin,1
pegawai,3
penumpangpadahal,1
sendirikalau,1
tol,7
pemberitahuansaat,1
tahukapok,1
bisnis,3
rewel,1
gmna,10
kocakk,2
deteksi,4
fataran,1
pinggir,5
kotorbau,1
rokok,2
indentitas,1
menyalahgunakan,2
nysehat,1
berangkat,12
kaget,4
ini,3
tidakk,1
dikembaliin,1
mmng,1
sihh,3
bangt,2
heduhhh,1
samsek,5
kebanyakn,2
jangancoba,1
pesanpijit,1
disinigara,1
pesanpijat,1
disinisya,1
rawat,2
dirs,1
patuh,4
radius,1
optimal,1
cpt,4
nonton,1
youtube,1
resolusi,1
tinggi,18
kecilmana,1
susahtolong,1
perbaikidrivernya,1
orderin,1
sodara,1
merespon,4
ngatain,7
babi,7
pekanbaru,4
nyenggol,3
plastik,9
tukang,10
krupuk,7
wkwkwk,2
deplover,1
evaluasi,5
supra,1
fit,1
ngebut,9
ngejar,1
kesan,3
deeeh,1
adek,4
menelvon,1
blum,3
mncari,1
dariver,1
cansel,6
mao,2
judes,4
lbh,6
apus,5
driverterutama,1
cosrumer,1
wanggi,1
bapuk,2
bebek,2
bau,5
buset,4
payment,7
skg,3
programmer,1
mumpung,1
lebaran,2
mhal,1
mahl,2
anjingggmau,1
berangkatno,1
gwdi,1
goblokk,1
susaaahh,1
aceh,1
hrganya,1
perifikasi,2
dikirm,1
trpaksa,1
sbelah,1
disebalh,1
logind,1
beres,6
sistemnyamasa,1
mengqadha,1
harganyakalau,1
lambung,1
ramahsemengat,1
notifikasi,12
pandang,2
berita,1
leceh,5
ter,6
rubah,11
ramahdn,1
baiktingkatkan,1
performa,2
ambontarif,1
draiver,4
ingin,4
inimohon,1
bodo,3
ras,5
ngendarain,1
cpat,2
kurirnyatrima,1
menggembalikan,1
kembalianya,1
tanya,19
ssbenarnya,1
apaa,1
sihsy,1
cm,7
sesuaidiapliksi,1
da,5
otomatis,17
taapi,1
hrga,3
normaltolong,1
ba,3
berabe,1
ramahtop,1
masmudah,1
rejeqinya,1
sip,7
gadikirim,1
dipakek,3
biss,1
gx,8
nafkah,2
sadar,7
sempit,1
tolongin,1
costumer,18
ngaq,1
pass,4
mantaps,1
pelyanan,1
selaluaamiin,2
dagel,1
gmaps,3
t,6
service,8
nyansangat,1
baiksopir,1
klean,1
dngo,1
pantesan,3
poto,3
tetang,1
hanya,1
ngrti,1
casmohon,1
teliti,6
lagilagi,1
hya,1
rbmengapa,1
yad,1
ditdk,1
persen,2
maximsy,1
masukantolong,1
donk,15
danaovogopaynontunaiyg,1
pakaigk,1
kes,1
yatolong,1
tks,4
engisian,1
ragu,4
benah,5
rapi,8
bangat,7
marketing,2
suratsaya,1
tinggl,1
brg,1
surat,2
tertinggl,1
wewenang,1
bales,4
hu,1
jatuh,2
lokal,1
rahim,1
ortu,2
ngehasilin,1
